POZO,LAT,LON
SITIO GRANDE 1,17.798887,-93.147397
SITIO GRANDE 100,17.767397,-93.119059
SITIO GRANDE 1001,17.772266,-93.118353
SITIO GRANDE 101,17.767374,-93.109656
SITIO GRANDE 1011,17.77142,-93.113202
SITIO GRANDE 102,17.77142,-93.113202
SITIO GRANDE 1021,17.773704,-93.128846
SITIO GRANDE 103,17.767458,-93.100232
SITIO GRANDE 110,17.759575,-93.114355
SITIO GRANDE 111,17.759554,-93.104934
SITIO GRANDE 5,17.791031,-93.142658
SITIO GRANDE 51,17.806581,-93.133239
SITIO GRANDE 6,17.798864,-93.137941
SITIO GRANDE 61,17.798865,-93.128514
SITIO GRANDE 61D,17.791752,-93.130202
SITIO GRANDE 63,17.798782,-93.119037
SITIO GRANDE 6D,17.79884,-93.137881
SITIO GRANDE 7,17.806071,-93.142479
SITIO GRANDE 70,17.791031,-93.133224
SITIO GRANDE 701,17.795642,-93.134053
SITIO GRANDE 71,17.790855,-93.123702
SITIO GRANDE 73,17.790958,-93.114317
SITIO GRANDE 8,17.81456,-93.147466
SITIO GRANDE 80,17.783205,-93.128505
SITIO GRANDE 801,17.78867,-93.128325
SITIO GRANDE 81,17.783028,-93.119014
SITIO GRANDE 82,17.783209,-93.137928
SITIO GRANDE 83,17.78313,-93.109604
SITIO GRANDE 90,17.775336,-93.123733
SITIO GRANDE 901,17.780671,-93.123036
SITIO GRANDE 91,17.7752,-93.114322
SITIO GRANDE 911,17.77922,-93.11561
SITIO GRANDE 92,17.77539,-93.133227
SITIO GRANDE 921,17.780271,-93.132774
SITIO GRANDE 93,17.775192,-93.104895
SITIO GRANDE 94,17.775388,-93.142642
