pozo,fecha de terminacion,estado,aceite acumulado,agua acumulado,gas acumulado,expedientes
SITIO GRANDE 1,30-06-72,PROG_TAPON,759447.681,2263.14,1436.103003,www.google.com
SITIO GRANDE 100,30-06-74,PROG_TAPON,9876468.682,1196441.66,12310.53799,ver expendientes
SITIO GRANDE 1001,31-10-84,PRODUCTOR,13782908.41,7339819.28,25233.15686,ver expendientes
SITIO GRANDE 101,31-03-73,PROG_TAPON,13376293.87,2979699.61,18219.29445,ver expendientes
SITIO GRANDE 1011,31-07-85,PRODUCTOR,3816507.191,3380568.72,6319.034916,ver expendientes
SITIO GRANDE 102,31-08-74,PROG_TAPON,26698188.05,3437598.22,35481.56,ver expendientes
SITIO GRANDE 1021,31-12-84,PROG_TAPON,13007238.82,8015507.49,24475.5347,ver expendientes
SITIO GRANDE 103,31-05-74,PROG_TAPON,4740193.691,94260.68,6768.062004,ver expendientes
SITIO GRANDE 110,31-08-74,PRODUCTOR,4091994.095,1556654.3,7562.204693,ver expendientes
SITIO GRANDE 111,30-04-74,TAPONADO,7305092.151,432299.86,8587.343434,ver expendientes
SITIO GRANDE 5,31-07-73,TAPONADO,3458303.642,88171.96,5183.305003,ver expendientes
SITIO GRANDE 51,31-10-73,TAPONADO,238365.84,26419.26,433.1979947,ver expendientes
SITIO GRANDE 61,30-11-73,TAPONADO,10387105.35,429639.08,14864.134,ver expendientes
SITIO GRANDE 61D,31-05-86,CERRADO,1012303.165,258234.07,1376.336521,ver expendientes
SITIO GRANDE 63,31-10-74,PROG_TAPON,323766.428,6634.69,543.7650007,ver expendientes
SITIO GRANDE 6D,31-12-79,PROG_TAPON,4615636.595,398530.15,4687.323638,ver expendientes
SITIO GRANDE 7,31-01-73,PROG_TAPON,1394468.469,548161.56,2254.547407,ver expendientes
SITIO GRANDE 70,28-02-74,PROG_TAPON,20962160.93,3417126.25,33208.15988,ver expendientes
SITIO GRANDE 701,30-11-84,PROG_TAPON,1405947.719,151885.89,1572.541,ver expendientes
SITIO GRANDE 71,31-10-73,TAPONADO,16803701.66,1648802.11,26411.01697,ver expendientes
SITIO GRANDE 73,31-07-74,INYECTOR,2470974.922,50645.82,3515.169995,ver expendientes
